"","SchoolYear","NCESDistrictID","StudentID","AdministrationDate","TermAssessmentSubject","ScaleScore","PercentileRank","GradeEquivalent","StudentGrowthPercentile","BenchmarkLevel","WindowName"
"27","2023-2024","108807108","108060984","2024-05-07 16:59:24.677","Math","627","39","4.5","55","2","EOY"
"28","2023-2024","108807017","108104052","2024-05-15 17:48:57.240","Math","800","50","8.0","69","1","EOY"
"29","2023-2024","108807017","108064985","2024-05-15 19:00:52.834","Math","824","60","9.4","92","1","EOY"
"30","2023-2024","108807015","108074612","2024-05-03 16:16:57.328","Math","759","46","6.7","14","1","EOY"
"31","2023-2024","108807087","108229866","2024-05-13 18:49:27.587","Math","816","70","8.9","","1","EOY"
"32","2023-2024","108807017","108201968","2024-05-15 17:18:18.116","Math","381","1","1.8","14","4","EOY"
"33","2023-2024","108807087","108090154","2024-05-10 13:33:22.840","Math","676","18","5.1","8","3","EOY"
"34","2023-2024","108807015","108056963","2024-05-02 13:23:03.929","Math","711","29","5.7","50","2","EOY"
"35","2023-2024","108807017","108064863","2024-05-15 18:30:40.683","Math","791","46","7.7","37","1","EOY"
"36","2023-2024","108807108","108093416","2024-05-07 17:05:02.507","Math","534","10","3.3","41","3","EOY"
"37","2023-2024","108807017","108064972","2024-05-15 19:02:07.025","Math","793","48","7.8","27","1","EOY"
"38","2023-2024","108807108","108075522","2024-05-07 17:03:29.567","Math","689","66","5.4","89","1","EOY"
"39","2023-2024","108807017","108064950","2024-05-15 20:00:19.227","Math","583","4","3.9","13","4","EOY"
"40","2023-2024","108807015","108064886","2024-05-02 19:26:22.803","Math","880","88","> 9","73","1","EOY"
"41","2023-2024","108807015","108234170","2024-05-02 18:53:00.518","Math","890","91","> 9","37","1","EOY"
"42","2023-2024","108807087","108101739","2024-05-10 18:41:56.872","Math","474","1","2.7","11","4","EOY"
"43","2023-2024","108807015","108056916","2024-05-02 19:05:31.800","Math","767","49","6.9","61","1","EOY"
"44","2023-2024","108807087","108135586","2024-05-15 18:39:45.424","Math","859","84","> 9","78","1","EOY"
"45","2023-2024","108807108","108075516","2024-05-07 16:56:49.783","Math","591","25","4.0","2","2","EOY"
"46","2023-2024","108807087","108247753","2024-05-13 18:20:52.699","Math","510","1","3.1","","4","EOY"
"47","2023-2024","108807015","108234154","2024-05-13 19:47:41.072","Math","627","8","4.4","77","4","EOY"
"48","2023-2024","108807108","108116774","2024-05-07 17:01:18.394","Math","674","59","5.1","84","1","EOY"
"49","2023-2024","108807087","108229892","2024-05-10 13:56:17.576","Math","842","80","> 9","81","1","EOY"
"50","2023-2024","108807015","108234157","2024-05-02 14:10:32.978","Math","618","8","4.3","6","4","EOY"
"51","2023-2024","108807015","108056887","2024-05-10 16:28:36.829","Math","726","34","6.0","3","2","EOY"
"52","2023-2024","108807015","108056962","2024-05-02 18:31:14.933","Math","768","49","6.9","35","1","EOY"
"53","2023-2024","108807108","108082116","2024-05-07 17:02:55.727","Math","607","30","4.2","89","2","EOY"
"54","2023-2024","108807015","108157072","2024-05-02 13:37:09.566","Math","659","14","4.9","31","3","EOY"
"55","2023-2024","108807015","108152782","2024-05-02 18:57:58.352","Math","608","7","4.2","49","4","EOY"
"56","2023-2024","108807108","108089761","2024-05-07 17:01:45.217","Math","766","90","6.9","76","1","EOY"
"57","2023-2024","108807087","108126962","2024-05-15 18:38:59.560","Math","820","70","> 9","29","1","EOY"
"58","2023-2024","108807087","108126962","2024-05-10 18:46:06.737","Math","881","89","> 9","","1","EOY"
"59","2023-2024","108807108","108075536","2024-05-07 17:11:17.306","Math","613","33","4.3","49","2","EOY"
"60","2023-2024","108807017","108137451","2024-05-15 17:24:53.848","Math","926","90","> 10","83","1","EOY"
"61","2023-2024","108807015","108061876","2024-05-03 18:13:08.527","Math","715","30","5.8","5","2","EOY"
"62","2023-2024","108807015","108056999","2024-05-02 18:24:51.973","Math","763","48","6.8","65","1","EOY"
"63","2023-2024","108807017","108072590","2024-05-15 15:45:18.554","Math","607","5","4.2","4","4","EOY"
"64","2023-2024","108807017","108055172","2024-05-15 19:51:44.302","Math","735","28","6.2","2","2","EOY"
"65","2023-2024","108807017","108064932","2024-05-15 15:25:32.465","Math","563","3","3.6","1","4","EOY"
"66","2023-2024","108807015","108057061","2024-05-02 14:10:01.439","Math","554","3","3.6","23","4","EOY"
"67","2023-2024","108807015","108056976","2024-05-09 16:07:14.775","Math","790","59","7.7","5","1","EOY"
"68","2023-2024","108807087","108114919","2024-05-10 15:48:37.289","Math","807","66","8.4","50","1","EOY"
"69","2023-2024","108807017","108064959","2024-05-15 18:31:30.551","Math","844","68","> 10","82","1","EOY"
"70","2023-2024","108807015","108056900","2024-05-02 17:01:55.025","Math","933","97","> 9","86","1","EOY"
"71","2023-2024","108807017","108074747","2024-05-16 14:23:28.219","Math","746","32","6.4","51","2","EOY"
"72","2023-2024","108807108","108075576","2024-05-07 16:54:35.820","Math","640","44","4.6","28","1","EOY"
"73","2023-2024","108807017","108141815","2024-05-15 17:22:47.575","Math","869","76","> 10","35","1","EOY"
"74","2023-2024","108807087","108214389","2024-05-13 18:49:30.064","Math","360","1","1.6","1","4","EOY"
"75","2023-2024","108807017","108113851","2024-05-15 17:43:57.869","Math","870","76","> 10","18","1","EOY"
"76","2023-2024","108807017","108056270","2024-05-15 18:43:31.577","Math","736","29","6.2","26","2","EOY"
"77","2023-2024","108807087","108192373","2024-05-10 14:02:20.154","Math","554","3","3.6","","4","EOY"
"78","2023-2024","108807015","108202370","2024-05-02 14:13:06.519","Math","849","81","> 9","71","1","EOY"
"79","2023-2024","108807015","108084774","2024-05-02 13:38:47.633","Math","795","62","7.8","14","1","EOY"
"80","2023-2024","108807108","108197518","2024-05-09 17:31:07.525","Math","402","1","2.0","","4","EOY"
"81","2023-2024","108807108","108197518","2024-05-09 18:08:17.574","Math","367","1","1.7","7","4","EOY"
"82","2023-2024","108807015","108056970","2024-05-13 20:11:25.578","Math","676","17","5.1","11","3","EOY"
"83","2023-2024","108807017","108100707","2024-05-15 17:34:28.765","Math","855","71","> 10","78","1","EOY"
"84","2023-2024","108807108","108179105","2024-05-02 17:03:35.122","Math","659","52","4.9","81","1","EOY"
"85","2023-2024","108807087","108091508","2024-05-10 14:44:19.219","Math","741","40","6.3","","1","EOY"
"86","2023-2024","108807087","108260849","2024-05-10 16:18:59.970","Math","743","40","6.4","","1","EOY"
"87","2023-2024","108807087","108135565","2024-05-10 16:38:47.421","Math","680","19","5.2","47","3","EOY"
"88","2023-2024","108807108","108075524","2024-05-07 17:34:08.967","Math","793","95","> 7","81","1","EOY"
"89","2023-2024","108807017","108074746","2024-05-15 18:38:34.584","Math","843","68","> 10","77","1","EOY"
"90","2023-2024","108807015","108056982","2024-05-02 14:17:13.641","Math","605","6","4.2","6","4","EOY"
"91","2023-2024","108807017","108064948","2024-05-15 20:19:44.689","Math","632","7","4.5","13","4","EOY"
"92","2023-2024","108807017","108218867","2024-05-15 18:27:12.804","Math","670","12","5.0","41","3","EOY"
"93","2023-2024","108807108","108089756","2024-05-07 17:31:17.952","Math","648","48","4.7","50","1","EOY"
"94","2023-2024","108807015","108056951","2024-05-09 19:03:27.644","Math","798","62","7.9","3","1","EOY"
"95","2023-2024","108807017","108185632","2024-05-15 17:15:20.401","Math","883","80","> 10","43","1","EOY"
"96","2023-2024","108807015","108234156","2024-05-03 16:21:18.547","Math","554","3","3.5","11","4","EOY"
"97","2023-2024","108807017","108071400","2024-05-15 17:31:40.534","Math","979","95","> 10","66","1","EOY"
"98","2023-2024","108807087","108237256","2024-05-10 18:56:12.627","Math","666","16","5.0","9","3","EOY"
"99","2023-2024","108807087","108091508","2024-05-13 13:58:15.047","Math","838","77","> 9","20","1","EOY"
"100","2023-2024","108807017","108123185","2024-05-15 18:45:37.436","Math","632","7","4.5","24","4","EOY"
"101","2023-2024","108807015","108056977","2024-05-03 16:14:07.394","Math","837","78","> 9","84","1","EOY"
"102","2023-2024","108807015","108261657","2024-05-02 19:12:36.938","Math","895","92","> 9","","1","EOY"
"103","2023-2024","108807017","108185628","2024-05-15 18:39:34.064","Math","788","46","7.6","76","1","EOY"
"104","2023-2024","108807017","108057107","2024-05-15 17:15:53.446","Math","656","10","4.8","37","3","EOY"
"105","2023-2024","108807017","108230072","2024-05-16 19:13:14.025","Math","779","42","7.3","40","1","EOY"
"106","2023-2024","108807087","108091537","2024-05-10 18:47:50.185","Math","670","17","5.0","","3","EOY"
"107","2023-2024","108807087","108100366","2024-05-13 18:23:01.459","Math","537","2","3.4","7","4","EOY"
"108","2023-2024","108807087","108178295","2024-05-13 18:19:25.406","Math","853","81","> 9","13","1","EOY"
"109","2023-2024","108807015","108056984","2024-05-02 13:19:17.689","Math","544","2","3.4","4","4","EOY"
"110","2023-2024","108807095","108088229","2024-05-06 18:56:23.626","Math","370","1","1.7","5","4","EOY"
"111","2023-2024","108807015","108164020","2024-05-02 19:02:27.260","Math","776","53","7.2","19","1","EOY"
"112","2023-2024","108807017","108064960","2024-05-15 19:52:26.246","Math","709","21","5.7","56","3","EOY"
"113","2023-2024","108807108","108075528","2024-05-07 17:00:22.157","Math","720","78","5.9","45","1","EOY"
"114","2023-2024","108807015","108056998","2024-05-02 18:56:54.763","Math","669","16","5.0","25","3","EOY"
"115","2023-2024","108807087","108229886","2024-05-10 19:02:47.492","Math","681","20","5.2","","3","EOY"
"116","2023-2024","108807087","108119575","2024-05-15 19:26:53.794","Math","821","71","> 9","","1","EOY"
"117","2023-2024","108807087","108090153","2024-05-15 18:20:54.776","Math","500","1","3.0","","4","EOY"
"118","2023-2024","108807017","108185650","2024-05-15 17:35:35.037","Math","838","65","> 10","50","1","EOY"
"119","2023-2024","108807108","108102962","2024-05-07 16:58:56.609","Math","497","6","2.9","55","4","EOY"
"120","2023-2024","108807108","108150385","2024-05-02 18:00:00.953","Math","460","4","2.6","33","4","EOY"
"121","2023-2024","108807108","108086687","2024-05-07 17:10:35.128","Math","711","75","5.7","65","1","EOY"
"122","2023-2024","108807017","108088302","2024-05-15 15:41:49.137","Math","638","8","4.6","37","4","EOY"
"123","2023-2024","108807017","108064986","2024-05-15 17:16:15.806","Math","829","62","9.7","42","1","EOY"
"124","2023-2024","108807017","108185104","2024-05-15 18:17:57.004","Math","661","11","4.9","11","3","EOY"
"125","2023-2024","108807108","108075575","2024-05-07 16:59:23.176","Math","701","71","5.5","18","1","EOY"
"126","2023-2024","108807015","108056969","2024-05-02 13:25:29.153","Math","848","81","> 9","62","1","EOY"
"127","2023-2024","108807108","108240354","2024-05-09 17:41:05.055","Math","676","61","5.1","76","1","EOY"
"128","2023-2024","108807108","108075495","2024-05-07 16:59:40.250","Math","540","11","3.4","59","3","EOY"
"129","2023-2024","108807087","108112507","2024-05-15 20:12:22.521","Math","618","8","4.3","5","4","EOY"
"130","2023-2024","108807108","108121228","2024-05-02 17:41:51.837","Math","592","25","4.0","1","2","EOY"
"131","2023-2024","108807108","108075497","2024-05-07 17:03:24.827","Math","572","19","3.7","43","3","EOY"
"132","2023-2024","108807017","108064929","2024-05-15 19:47:06.992","Math","881","80","> 10","99","1","EOY"
"133","2023-2024","108807087","108090132","2024-05-13 18:32:48.793","Math","692","21","5.4","","3","EOY"
"134","2023-2024","108807108","108075544","2024-05-07 16:59:33.430","Math","535","10","3.3","40","3","EOY"
"135","2023-2024","108807015","108056920","2024-05-02 13:26:48.850","Math","617","7","4.3","19","4","EOY"
"136","2023-2024","108807108","108230826","2024-05-08 17:09:43.467","Math","789","94","> 7","91","1","EOY"
"137","2023-2024","108807017","108147123","2024-05-15 17:45:03.656","Math","863","74","> 10","53","1","EOY"
"138","2023-2024","108807087","108135602","2024-05-13 19:54:11.212","Math","789","57","7.6","29","1","EOY"
"139","2023-2024","108807108","108075492","2024-05-07 17:10:11.908","Math","488","5","2.8","27","4","EOY"
"140","2023-2024","108807087","108257791","2024-05-15 16:34:47.827","Math","438","1","2.3","","4","EOY"
"141","2023-2024","108807017","108061857","2024-05-15 15:14:15.546","Math","507","1","3.0","","4","EOY"
"142","2023-2024","108807017","108064946","2024-05-15 14:57:42.385","Math","797","49","7.9","31","1","EOY"
"143","2023-2024","108807087","108240516","2024-05-15 18:59:23.294","Math","352","1","1.5","","4","EOY"
"144","2023-2024","108807108","108075502","2024-05-08 16:48:56.389","Math","769","91","7.0","37","1","EOY"
"145","2023-2024","108807017","108061808","2024-05-15 18:29:37.883","Math","691","17","5.4","5","3","EOY"
"146","2023-2024","108807087","108229870","2024-05-13 16:01:36.113","Math","655","13","4.8","","3","EOY"
"147","2023-2024","108807015","108157946","2024-05-03 18:29:33.358","Math","642","11","4.6","4","3","EOY"
"148","2023-2024","108807108","108075519","2024-05-07 16:56:04.334","Math","795","95","> 7","48","1","EOY"
"149","2023-2024","108807015","108056960","2024-05-02 14:07:00.439","Math","828","74","> 9","95","1","EOY"
"150","2023-2024","108807108","108075584","2024-05-07 17:07:44.365","Math","673","59","5.1","32","1","EOY"
"151","2023-2024","108807015","108076620","2024-05-02 19:10:24.155","Math","857","83","> 9","11","1","EOY"
"152","2023-2024","108807108","108075577","2024-05-03 14:33:12.728","Math","675","60","5.1","50","1","EOY"
"153","2023-2024","108807017","108163048","2024-05-15 17:33:38.495","Math","879","79","> 10","80","1","EOY"
"154","2023-2024","108807108","108076939","2024-05-07 16:53:46.783","Math","671","58","5.0","90","1","EOY"
"155","2023-2024","108807017","108064997","2024-05-15 14:54:25.651","Math","681","15","5.2","60","3","EOY"
"156","2023-2024","108807087","108110839","2024-05-15 19:19:51.534","Math","280","1","0.9","","4","EOY"
"157","2023-2024","108807087","108229906","2024-05-10 18:29:34.137","Math","480","1","2.8","19","4","EOY"
"158","2023-2024","108807006","108234169","2024-05-15 20:03:47.472","Math","685","19","5.3","24","3","EOY"
"159","2023-2024","108807015","108064497","2024-05-09 16:11:57.008","Math","743","40","6.4","46","1","EOY"
"160","2023-2024","108807087","108149213","2024-05-15 18:48:23.335","Math","834","75","> 9","28","1","EOY"
"161","2023-2024","108807015","108074839","2024-05-09 19:40:27.250","Math","391","1","1.9","42","4","EOY"
"162","2023-2024","108807087","108239130","2024-05-10 15:59:15.228","Math","399","1","2.0","31","4","EOY"
"163","2023-2024","108807087","108090158","2024-05-15 18:17:29.777","Math","197","1","0.1","","4","EOY"
"164","2023-2024","108807015","108244124","2024-05-02 13:26:12.067","Math","796","62","7.8","98","1","EOY"
"165","2023-2024","108807015","108249230","2024-05-02 19:14:54.541","Math","731","36","6.1","70","2","EOY"
"166","2023-2024","108807108","108075604","2024-05-07 17:02:54.109","Math","652","49","4.8","22","1","EOY"
"167","2023-2024","108807017","108102020","2024-05-15 20:14:00.072","Math","765","38","6.9","20","2","EOY"
"168","2023-2024","108807015","108074838","2024-05-02 19:14:41.019","Math","731","36","6.1","40","2","EOY"
"169","2023-2024","108807087","108229867","2024-05-15 20:36:48.206","Math","540","2","3.4","46","4","EOY"
"170","2023-2024","108807015","108056947","2024-05-02 15:45:50.215","Math","657","14","4.9","1","3","EOY"
"171","2023-2024","108807015","108056336","2024-05-02 19:16:37.093","Math","809","67","8.4","25","1","EOY"
"172","2023-2024","108807108","108121637","2024-05-07 17:11:03.434","Math","741","84","6.3","68","1","EOY"
"173","2023-2024","108807015","108056161","2024-05-02 18:54:24.984","Math","604","6","4.1","19","4","EOY"
"174","2023-2024","108807017","108064940","2024-05-15 17:16:24.299","Math","816","56","8.8","9","1","EOY"
"175","2023-2024","108807017","108072586","2024-05-15 18:34:38.808","Math","773","40","7.1","29","1","EOY"
"176","2023-2024","108807015","108105983","2024-05-02 16:58:05.075","Math","685","21","5.3","","3","EOY"
"177","2023-2024","108807087","108178269","2024-05-10 13:29:51.089","Math","540","2","3.4","1","4","EOY"
"178","2023-2024","108807015","108056943","2024-05-02 13:31:58.447","Math","812","69","8.6","95","1","EOY"
"179","2023-2024","108807087","108104658","2024-05-10 13:35:34.467","Math","838","78","> 9","99","1","EOY"
"180","2023-2024","108807017","108111861","2024-05-15 15:18:43.648","Math","796","49","7.9","77","1","EOY"
"181","2023-2024","108807017","108064971","2024-05-15 17:26:47.139","Math","863","74","> 10","46","1","EOY"
"182","2023-2024","108807017","108110324","2024-05-15 18:38:39.988","Math","578","4","3.8","23","4","EOY"
"183","2023-2024","108807015","108056911","2024-05-03 16:07:50.572","Math","728","35","6.0","1","2","EOY"
"184","2023-2024","108807015","108063310","2024-05-10 16:25:33.958","Math","831","76","> 9","79","1","EOY"
"185","2023-2024","108807017","108076656","2024-05-16 19:52:45.316","Math","688","16","5.3","4","3","EOY"
"186","2023-2024","108807015","108056919","2024-05-02 14:12:48.740","Math","708","28","5.7","6","2","EOY"
"187","2023-2024","108807017","108147127","2024-05-15 19:48:23.849","Math","751","33","6.5","3","2","EOY"
"188","2023-2024","108807017","108230078","2024-05-15 15:29:42.806","Math","851","70","> 10","95","1","EOY"
"189","2023-2024","108807002","108071652","2024-05-09 18:11:11.390","Math","962","95","> 10","88","1","EOY"
"190","2023-2024","108807087","108109036","2024-05-10 15:50:19.554","Math","706","27","5.6","48","2","EOY"
"191","2023-2024","108807108","108195508","2024-05-07 17:16:00.573","Math","650","49","4.8","96","1","EOY"
"192","2023-2024","108807108","108075551","2024-05-07 16:59:30.317","Math","716","76","5.8","34","1","EOY"
"193","2023-2024","108807108","108159005","2024-05-07 17:02:28.381","Math","741","85","6.3","71","1","EOY"
"194","2023-2024","108807015","108056895","2024-05-02 14:16:02.960","Math","860","84","> 9","91","1","EOY"
"195","2023-2024","108807087","108199888","2024-05-10 18:46:09.092","Math","692","23","5.4","4","3","EOY"
"196","2023-2024","108807087","108244432","2024-05-10 18:56:03.957","Math","541","2","3.4","","4","EOY"
"197","2023-2024","108807015","108238252","2024-05-02 19:12:46.597","Math","427","1","2.2","6","4","EOY"
"198","2023-2024","108807015","108200819","2024-05-03 18:12:05.064","Math","724","33","6.0","","2","EOY"
"199","2023-2024","108807087","108090166","2024-05-10 18:43:39.892","Math","510","1","3.1","19","4","EOY"
"200","2023-2024","108807087","108112804","2024-05-10 18:37:52.077","Math","474","1","2.7","1","4","EOY"
"201","2023-2024","108807087","108102761","2024-05-15 18:19:23.376","Math","798","63","8.0","","1","EOY"
"202","2023-2024","108807017","108064979","2024-05-15 15:32:55.470","Math","714","22","5.8","84","3","EOY"
"203","2023-2024","108807015","108234166","2024-05-10 16:21:47.179","Math","378","1","1.8","16","4","EOY"
"204","2023-2024","108807015","108064868","2024-05-02 13:38:14.031","Math","733","37","6.2","33","2","EOY"
"205","2023-2024","108807087","108178219","2024-05-10 16:56:16.559","Math","803","65","8.2","59","1","EOY"
"206","2023-2024","108807015","108057877","2024-05-02 14:03:26.357","Math","554","3","3.6","11","4","EOY"
"207","2023-2024","108807087","108102793","2024-05-10 15:25:46.127","Math","293","1","1.0","1","4","EOY"
"208","2023-2024","108807017","108112546","2024-05-15 20:10:07.831","Math","691","17","5.4","44","3","EOY"
"209","2023-2024","108807015","108106879","2024-05-14 13:50:10.461","Math","588","5","3.9","","4","EOY"
"210","2023-2024","108807015","108086826","2024-05-03 16:12:19.897","Math","694","24","5.4","51","3","EOY"
"211","2023-2024","108807015","108234164","2024-05-02 19:11:20.918","Math","696","24","5.5","13","3","EOY"
"212","2023-2024","108807015","108234162","2024-05-03 16:22:24.799","Math","747","41","6.4","4","1","EOY"
"213","2023-2024","108807087","108229885","2024-05-15 18:39:21.815","Math","869","85","> 9","68","1","EOY"
"214","2023-2024","108807108","108075557","2024-05-07 16:55:47.935","Math","608","31","4.2","32","2","EOY"
"215","2023-2024","108807087","108161870","2024-05-15 20:05:06.136","Math","684","19","5.3","7","3","EOY"
"216","2023-2024","108807087","108234587","2024-05-15 19:56:02.204","Math","467","1","2.6","","4","EOY"
"217","2023-2024","108807017","108076662","2024-05-15 20:06:46.787","Math","918","89","> 10","51","1","EOY"
"218","2023-2024","108807015","108056929","2024-05-02 19:21:36.449","Math","772","51","7.0","30","1","EOY"
"219","2023-2024","108807108","108087927","2024-05-08 16:46:31.743","Math","483","5","2.8","1","4","EOY"
"220","2023-2024","108807017","108112830","2024-05-16 20:27:10.413","Math","741","30","6.3","35","2","EOY"
"221","2023-2024","108807087","108229869","2024-05-15 18:25:52.764","Math","440","1","2.3","","4","EOY"
"222","2023-2024","108807087","108229869","2024-05-13 18:08:33.210","Math","471","1","2.7","","4","EOY"
"223","2023-2024","108807108","108075573","2024-05-07 16:59:59.309","Math","572","19","3.8","22","3","EOY"
"224","2023-2024","108807108","108075345","2024-05-07 16:59:12.231","Math","674","59","5.1","83","1","EOY"
"225","2023-2024","108807015","108056889","2024-05-02 13:34:32.007","Math","694","23","5.4","75","3","EOY"
"226","2023-2024","108807015","108056990","2024-05-02 19:11:21.320","Math","692","23","5.4","3","3","EOY"
"227","2023-2024","108807108","108086660","2024-05-07 17:04:38.140","Math","600","28","4.1","5","2","EOY"
"228","2023-2024","108807017","108185637","2024-05-15 20:05:52.147","Math","601","5","4.1","34","4","EOY"
"229","2023-2024","108807108","108075350","2024-05-07 17:06:19.063","Math","719","78","5.9","45","1","EOY"
"230","2023-2024","108807087","108124521","2024-05-13 14:37:41.807","Math","703","25","5.6","15","2","EOY"
"231","2023-2024","108807017","108082277","2024-05-16 14:27:39.963","Math","771","40","7.0","76","1","EOY"
"232","2023-2024","108807015","108076622","2024-05-02 14:14:06.382","Math","882","89","> 9","71","1","EOY"
"233","2023-2024","108807015","108056996","2024-05-02 14:08:59.518","Math","576","4","3.8","10","4","EOY"
"234","2023-2024","108807087","108102156","2024-05-13 14:10:15.886","Math","703","26","5.6","29","2","EOY"
"235","2023-2024","108807015","108056974","2024-05-02 13:21:22.390","Math","626","8","4.4","6","4","EOY"
"236","2023-2024","108807087","108199995","2024-05-10 13:14:29.731","Math","286","1","0.9","1","4","EOY"
"237","2023-2024","108807015","108085701","2024-05-02 19:29:52.144","Math","884","89","> 9","78","1","EOY"
"238","2023-2024","108807015","108056907","2024-05-02 18:47:13.986","Math","755","44","6.6","63","1","EOY"
"239","2023-2024","108807015","108075078","2024-05-02 16:17:16.766","Math","837","78","> 9","94","1","EOY"
"240","2023-2024","108807017","108064970","2024-05-15 15:08:30.447","Math","627","7","4.5","6","4","EOY"
"241","2023-2024","108807015","108056913","2024-05-13 19:38:46.572","Math","473","1","2.7","1","4","EOY"
"242","2023-2024","108807015","108234165","2024-05-10 16:21:18.330","Math","414","1","2.1","4","4","EOY"
"243","2023-2024","108807108","108075541","2024-05-07 17:06:34.183","Math","721","79","5.9","82","1","EOY"
"244","2023-2024","108807015","108244797","2024-05-02 16:49:02.507","Math","717","31","5.8","","2","EOY"
"245","2023-2024","108807017","108064954","2024-05-15 17:31:23.954","Math","869","76","> 10","73","1","EOY"
"246","2023-2024","108807015","108056912","2024-05-02 13:17:37.148","Math","539","2","3.4","2","4","EOY"
"247","2023-2024","108807015","108056953","2024-05-02 13:22:54.629","Math","836","78","> 9","28","1","EOY"
"248","2023-2024","108807087","108119526","2024-05-10 15:29:58.764","Math","432","1","2.3","1","4","EOY"
"249","2023-2024","108807015","108203047","2024-05-02 14:05:08.520","Math","756","45","6.7","6","1","EOY"
"250","2023-2024","108807087","108178179","2024-05-10 18:53:52.305","Math","677","18","5.1","11","3","EOY"
"251","2023-2024","108807015","108056964","2024-05-02 14:09:16.597","Math","701","26","5.5","7","2","EOY"
"252","2023-2024","108807015","108137522","2024-05-02 14:07:57.477","Math","663","15","5.0","4","3","EOY"
"253","2023-2024","108807108","108075531","2024-05-07 17:02:40.355","Math","795","95","> 7","29","1","EOY"
"254","2023-2024","108807015","108156985","2024-05-14 18:58:08.650","Math","409","1","2.1","1","4","EOY"
"255","2023-2024","108807015","108057045","2024-05-15 20:22:52.022","Math","821","72","> 9","29","1","EOY"
"256","2023-2024","108807015","108064844","2024-05-02 13:27:59.402","Math","581","5","3.9","10","4","EOY"
"257","2023-2024","108807015","108202185","2024-05-10 16:25:24.707","Math","394","1","1.9","57","4","EOY"
"258","2023-2024","108807108","108060558","2024-05-07 16:56:38.836","Math","781","93","> 7","33","1","EOY"
"259","2023-2024","108807017","108163310","2024-05-15 18:30:08.357","Math","781","43","7.3","82","1","EOY"
"260","2023-2024","108807087","108229888","2024-05-10 16:29:02.850","Math","778","54","7.2","","1","EOY"
"261","2023-2024","108807015","108085110","2024-05-13 20:01:07.851","Math","671","15","5.0","6","3","EOY"
"262","2023-2024","108807015","108086268","2024-05-02 18:30:15.496","Math","525","2","3.2","7","4","EOY"
"263","2023-2024","108807087","108178315","2024-05-10 19:00:17.186","Math","617","7","4.3","","4","EOY"
"264","2023-2024","108807087","108234760","2024-05-10 13:31:08.568","Math","660","14","4.9","","3","EOY"
"265","2023-2024","108807017","108064983","2024-05-15 15:04:35.205","Math","570","3","3.7","23","4","EOY"
"266","2023-2024","108807017","108085679","2024-05-15 17:04:46.830","Math","864","74","> 10","33","1","EOY"
